id_documento;tipo_pessoa;nome_razao;nome_fantasia;rg_ie;email;telefone;cep;endereco;numero;complemento;bairro;cidade;uf;categoria;limite_credito;status;data_cadastro
23.233.222/0001-56; JURIDICA; UASG 984143 - MUNICIPIO DE ANDRADAS; PREFEITURA ANDRADAS; ISENTO; licitacoes@andradas.mg.gov.br; (35) 3739-2000; 37795-000; Praca 22 de Fevereiro; s/n; s/n; Centro; Andradas; MG; CLIENTE; NADA; ATIVO; 13/02/2026
00.394.460/0039-14; JURIDICA; UASG 200378 - DELEGACIA DE POLICIA FEDERAL EM ANGRA; POLICIA FEDERAL; ISENTO; compras.arm.rj@pf.gov.br; (24) 3365-1200; 23900-000;Rua Maria Jose Luciana de Oliveira;65; s/n; Praia do Anil; Angra dos Reis; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
28.513.240/0001-49; JURIDICA; UASG 985713 - MUNICIPIO DE ANGRA DOS REIS; PREFEITURA ANGRA; ISENTO; licitacao@angra.rj.gov.br; (24) 3377-8300; 23900-000;Praca Nilo Pecanha;186; s/n; Centro; Angra dos Reis; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
76.204.703/0001-84; JURIDICA; UASG 987541 - MUNICIPIO DE ANTONINA; PREFEITURA ANTONINA; ISENTO; licitacao@antonina.pr.gov.br; (41) 3432-1122; 83370-000; Rua XV de Novembro;150; s/n; Centro; Antonina; PR; CLIENTE; NADA; ATIVO; 13/02/2026
31.428.110/0001-22; JURIDICA; UASG 982597 - MUNICIPIO DE APIACA; PREFEITURA APIACA; ISENTO; licitacoes@apiaca.es.gov.br; (28) 3557-1133; 29450-000; Praca Alcantara; s/n; s/n; Centro; Apiaca; ES; CLIENTE; NADA; ATIVO; 13/02/2026
01.442.222/0023-59; JURIDICA; UASG 160414 - 30 BATALHAO DE INFANTARIA MECANIZADO; EXERCITO BRASILEIRO; ISENTO; licitacoes.30bimtz@eb.mil.br; (43) 3423-1122; 86800-010; Avenida Minas Gerais; s/n; s/n; Centro; Apucarana; PR; CLIENTE; NADA; ATIVO; 13/02/2026
76.205.619/0001-75; JURIDICA; UASG 987461 - MUNICIPIO DE APUCARANA; PREFEITURA APUCARANA; ISENTO; licitacao@apucarana.pr.gov.br; (43) 3422-4000; 86800-010; Praca Presidente Kennedy; s/n; s/n; Centro; Apucarana; PR; CLIENTE; NADA; ATIVO; 13/02/2026
46.523.909/0001-47; JURIDICA; UASG 989175 - MUNICIPIO DE ARACATUBA; PREFEITURA ARACATUBA; ISENTO; licitacoes@aracatuba.sp.gov.br; (18) 3636-3200; 16010-210; Rua Coelho Neto;73; s/n; Vila Biagui; Aracatuba; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.525.408/0001-65; JURIDICA; UASG 989283 - MUNICIPIO DE ARACOIABA DA SERRA; PREFEITURA ARACOIABA; ISENTO; licitacoes@aracoiaba.sp.gov.br; (15) 3281-7000; 18190-000; Avenida Luiza Rosa;900; s/n; Centro; Aracoiaba da Serra; SP; CLIENTE; NADA; ATIVO; 13/02/2026
27.167.444/0001-00; JURIDICA; UASG 982579 - MUNICIPIO DE ARACRUZ; PREFEITURA ARACRUZ; ISENTO; licitacoes@aracruz.es.gov.br; (27) 3270-7000; 29190-000; Avenida Moroba;20; s/n; Moroba; Aracruz; ES; CLIENTE; NADA; ATIVO; 13/02/2026
18.577.767/0001-67; JURIDICA; UASG 984111 - MUNICIPIO DE ARAGUARI; PREFEITURA ARAGUARI; ISENTO; licitacoes@araguari.mg.gov.br; (34) 3690-3000; 38440-001; Rua Marciano Santos;685; s/n; Centro; Araguari; MG; CLIENTE; NADA; ATIVO; 13/02/2026
18.701.112/0001-01; JURIDICA; UASG 984155 - MUNICIPIO DE ARAGUARI; PREFEITURA ARAGUARI; ISENTO; licitacoes@araguari.mg.gov.br; (34) 3690-3000; 38440-000; Rua Marciano Santos;685; s/n; Centro; Araguari; MG; CLIENTE; NADA; ATIVO; 13/02/2026
76.205.569/0001-26; JURIDICA; UASG 987467 - MUNICIPIO DE ARAPONGAS; PREFEITURA ARAPONGAS; ISENTO; licitacao@arapongas.pr.gov.br; (43) 3902-1000; 86700-155; Rua das Garcas;750; s/n; Centro; Arapongas; PR; CLIENTE; NADA; ATIVO; 13/02/2026
46.523.800/0001-00; JURIDICA; UASG 989165 - MUNICIPIO DE ARARAQUARA; PREFEITURA ARARAQUARA; ISENTO; licitacoes@araraquara.sp.gov.br; (16) 3301-5000; 14801-901; Rua Voluntarios da Patria;1509; s/n; Centro; Araraquara; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.326/0001-60; JURIDICA; UASG 153039 - UNESP CAMPUS ARARAQUARA; UNIVERSIDADE ESTADUAL; ISENTO; compras.arq@unesp.br; (16) 3301-6100; 14800-901; Rua Humaita;1680; s/n; Centro; Araraquara; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.104/0001-00; JURIDICA; UASG 989195 - MUNICIPIO DE ARARAS; PREFEITURA ARARAS; ISENTO; licitacoes@araras.sp.gov.br; (19) 3543-3300; 13600-000; Rua Pedro Alvares Cabral;83; s/n; Centro; Araras; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.660/0001-13; JURIDICA; UASG 989209 - MUNICIPIO DE ARARAS; PREFEITURA ARARAS; ISENTO; licitacoes@araras.sp.gov.br; (19) 3543-3300; 13600-720; Rua Pedro Alvares Cabral;83; s/n; Centro; Araras; SP; CLIENTE; NADA; ATIVO; 13/02/2026
29.115.441/0001-08; JURIDICA; UASG 985721 - MUNICIPIO DE ARARUAMA; PREFEITURA ARARUAMA; ISENTO; licitacao@araruama.rj.gov.br; (22) 2665-2121; 28970-000;Praca Getulio Vargas; s/n; s/n; Centro; Araruama; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
28.530.604/0001-11; JURIDICA; UASG 985803 - MUNICIPIO DE ARARUAMA; PREFEITURA ARARUAMA; ISENTO; licitacoes@araruama.rj.gov.br; (22) 2665-2121; 28970-000; Parque Hotel; s/n; s/n; Centro; Araruama; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
76.205.700/0001-47; JURIDICA; UASG 987465 - MUNICIPIO DE ARAUCARIA; PREFEITURA ARAUCARIA; ISENTO; licitacao@araucaria.pr.gov.br; (41) 3614-1400; 83702-000; Rua Pedro Druszcz;111; s/n; Centro; Araucaria; PR; CLIENTE; NADA; ATIVO; 13/02/2026
18.645.556/0001-01; JURIDICA; UASG 984131 - MUNICIPIO DE ARAXA; PREFEITURA ARAXA; ISENTO; licitacoes@araxa.mg.gov.br; (34) 3669-9000; 38183-001; Rua Franklin de Castro;160; s/n; Centro; Araxa; MG; CLIENTE; NADA; ATIVO; 13/02/2026
18.778.777/0001-67; JURIDICA; UASG 984133 - MUNICIPIO DE ARCOS; PREFEITURA ARCOS; ISENTO; licitacoes@arcos.mg.gov.br; (37) 3351-1400; 35588-000; Rua Getulio Vargas;228; s/n; Centro; Arcos; MG; CLIENTE; NADA; ATIVO; 13/02/2026
10.851.211/0009-08; JURIDICA; UASG 158445 - IFRJ CAMPUS ARRAIAL DO CABO; INSTITUTO FEDERAL; ISENTO; compras.ac@ifrj.edu.br; (22) 2622-9000; 28930-000;Rua Jose Pinto de Macedo; s/n; s/n; Prainha; Arraial do Cabo; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
96.119.444/0001-78; JURIDICA; UASG 984861 - MUNICIPIO DE ARROIO DO MEIO; PREFEITURA ARROIO; ISENTO; licitacoes@arroiodomeio.rs.gov.br; (51) 3716-1166; 95940-000; Rua Visconde do Rio Branco;11; s/n; Centro; Arroio do Meio; RS; CLIENTE; NADA; ATIVO; 13/02/2026
96.219.555/0001-89; JURIDICA; UASG 984863 - MUNICIPIO DE ARROIO DO TIGRE; PREFEITURA TIGRE; ISENTO; licitacoes@arroiodotigre.rs.gov.br; (51) 3747-1122; 96950-000; Rua 15 de Novembro; s/n; s/n; Centro; Arroio do Tigre; RS; CLIENTE; NADA; ATIVO; 13/02/2026
46.525.743/0001-80; JURIDICA; UASG 989317 - MUNICIPIO DE ARUJA; PREFEITURA ARUJA; ISENTO; licitacoes@aruja.sp.gov.br; (11) 4652-7600; 07400-000; Rua Jose Basilio de Alvarenga;90; s/n; Centro; Aruja; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.341/0001-08; JURIDICA; UASG 153039 - UNESP CAMPUS ASSIS; UNIVERSIDADE ESTADUAL; ISENTO; compras.assis@unesp.br; (18) 3302-5800; 19806-900; Avenida Dom Antonio;2100; s/n; Parque Universitario; Assis; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.644/0001-20; JURIDICA; UASG 989207 - MUNICIPIO DE ATIBAIA; PREFEITURA ATIBAIA; ISENTO; licitacoes@atibaia.sp.gov.br; (11) 4414-2000; 12940-250; Avenida Nove de Julho;185; s/n; Centro; Atibaia; SP; CLIENTE; NADA; ATIVO; 13/02/2026
31.428.110/0001-23; JURIDICA; UASG 982599 - MUNICIPIO DE ATILIO VIVACQUA; PREFEITURA VIVACQUA; ISENTO; licitacoes@atiliovivacqua.es.gov.br; (28) 3538-1109; 29490-000; Praca Jose Valentin; s/n; s/n; Centro; Atilio Vivacqua; ES; CLIENTE; NADA; ATIVO; 13/02/2026
10.723.239/0004-98; JURIDICA; UASG 158453 - IFSUL CAMPUS BAGE; INSTITUTO FEDERAL; ISENTO; compras@bage.ifsul.edu.br; (53) 3247-3000; 96400-000; Avenida Leonel Brizola; s/n; s/n; Centro; Bage; RS; CLIENTE; NADA; ATIVO; 13/02/2026
89.011.788/0001-66; JURIDICA; UASG 984317 - MUNICIPIO DE BAGE; PREFEITURA BAGE; ISENTO; licitacoes@bage.rs.gov.br; (53) 3240-5000; 96400-001; Rua General Neto;10; s/n; Centro; Bage; RS; CLIENTE; NADA; ATIVO; 13/02/2026
91.214.000/0001-89; JURIDICA; UASG 153301 - UNIPAMPA REITORIA; UNIPAMPA; ISENTO; compras@unipampa.edu.br; (53) 3240-5400; 96400-110; Rua Professor Mario Araujo;123; s/n; Centro; Bage; RS; CLIENTE; NADA; ATIVO; 13/02/2026
87.896.932/0001-50; JURIDICA; UASG 984183 - MUNICIPIO DE BAGE; PREFEITURA BAGE; ISENTO; licitacao@bage.rs.gov.br; (53) 3240-5000; 96400-030; Rua General Osorio;998; s/n; Centro; Bage; RS; CLIENTE; NADA; ATIVO; 13/02/2026
91.455.071/0001-02; JURIDICA; UASG 154361 - UNIVERSIDADE FEDERAL DO PAMPA; UNIPAMPA; ISENTO; licitacoes@unipampa.edu.br; (53) 3240-5400; 96400-110; Rua Professor Mario Araujo;1200; s/n; Centro; Bage; RS; CLIENTE; NADA; ATIVO; 13/02/2026
31.428.110/0001-24; JURIDICA; UASG 982601 - MUNICIPIO DE BAIXO GUANDU; PREFEITURA B GUANDU; ISENTO; licitacoes@baixoguandu.es.gov.br; (27) 3732-1133; 29730-000; Praca Getulio Vargas; s/n; s/n; Centro; Baixo Guandu; ES; CLIENTE; NADA; ATIVO; 13/02/2026
76.204.687/0001-20; JURIDICA; UASG 987543 - MUNICIPIO DE BALSA NOVA; PREFEITURA BALSA NOVA; ISENTO; licitacao@balsanova.pr.gov.br; (41) 3636-1122; 83650-000; Avenida Brasil;111; s/n; Centro; Balsa Nova; PR; CLIENTE; NADA; ATIVO; 13/02/2026
18.789.888/0001-78; JURIDICA; UASG 984175 - MUNICIPIO DE BAMBUI; PREFEITURA BAMBUI; ISENTO; licitacoes@bambui.mg.gov.br; (37) 3431-5400; 38900-000; Praca Coronel Torres;66; s/n; Centro; Bambui; MG; CLIENTE; NADA; ATIVO; 13/02/2026
18.533.323/0001-89; JURIDICA; UASG 984211 - MUNICIPIO DE BARBACENA; PREFEITURA BARBACENA; ISENTO; licitacoes@barbacena.mg.gov.br; (32) 3339-2000; 36200-001; Rua Sete de Setembro;50; s/n; Centro; Barbacena; MG; CLIENTE; NADA; ATIVO; 13/02/2026
27.165.745/0001-44; JURIDICA; UASG 982585 - MUNICIPIO DE BARRA DE SAO FRANCISCO; PREFEITURA BARRA; ISENTO; licitacoes@barradesaofrancisco.es.gov.br; (27) 3756-8000; 29800-000; Rua Desembargador Ferreira Coelho;111; s/n; Centro; Barra de Sao Francisco; ES; CLIENTE; NADA; ATIVO; 13/02/2026
28.536.907/0001-22; JURIDICA; UASG 985811 - MUNICIPIO DE BARRA DO PIRAI; PREFEITURA BARRA PIRAI; ISENTO; licitacoes@barradopirai.rj.gov.br; (24) 2443-1253; 27123-000; Travessa Guimaraes;100; s/n; Centro; Barra do Pirai; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
28.513.257/0001-04; JURIDICA; UASG 985725 - MUNICIPIO DE BARRA MANSA; PREFEITURA BARRA MANSA; ISENTO; licitacao@barramansa.rj.gov.br; (24) 2106-3400; 27310-010;Rua Luis Ponce;263; s/n; Centro; Barra Mansa; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
28.534.806/0001-88; JURIDICA; UASG 985809 - MUNICIPIO DE BARRA MANSA; PREFEITURA B MANSA; ISENTO; licitacoes@barramansa.rj.gov.br; (24) 2106-3400; 27310-000; Rua Luis Ponce;263; s/n; Centro; Barra Mansa; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.768/0001-06; JURIDICA; UASG 989219 - MUNICIPIO DE BARRETOS; PREFEITURA BARRETOS; ISENTO; licitacoes@barretos.sp.gov.br; (17) 3321-1100; 14780-000; Avenida 31;1243; s/n; Centro; Barretos; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.523.602/0001-08; JURIDICA; UASG 989145 - MUNICIPIO DE BARUERI; PREFEITURA BARUERI; ISENTO; licitacoes@barueri.sp.gov.br; (11) 4199-8000; 06401-160; Rua Guilherme Rohn;210; s/n; Centro; Barueri; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.523.487/0001-71; JURIDICA; UASG 989133 - MUNICIPIO DE BAURU; PREFEITURA BAURU; ISENTO; licitacoes@bauru.sp.gov.br; (14) 3235-1000; 17011-102; Praca das Cerejeiras;1; s/n; Vila Noemy; Bauru; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.367/0001-56; JURIDICA; UASG 153039 - UNESP CAMPUS BAURU; UNIVERSIDADE ESTADUAL; ISENTO; compras.bauru@unesp.br; (14) 3103-6000; 17033-360; Avenida Engenheiro Luiz Edmundo Carrijo Coube;14; s/n; Vargem Limpa; Bauru; SP; CLIENTE; NADA; ATIVO; 13/02/2026
29.138.294/0001-96; JURIDICA; UASG 985731 - MUNICIPIO DE BELFORD ROXO; PREFEITURA BELFORD ROXO; ISENTO; licitacao@belfordroxo.rj.gov.br; (21) 2103-6700; 26110-000;Avenida Floripes da Rocha;378; s/n; Centro; Belford Roxo; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
29.115.458/0001-73; JURIDICA; UASG 985805 - MUNICIPIO DE BELFORD ROXO; PREFEITURA BELFORD ROXO; ISENTO; licitacoes@belfordroxo.rj.gov.br; (21) 2103-6700; 26110-230; Estrada de Ferro Leopoldina;440; s/n; Centro; Belford Roxo; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
17.217.951/0001-10; JURIDICA; UASG 984139 - MUNICIPIO DE BELO HORIZONTE; PREFEITURA BH; ISENTO; licitacoes@pbh.gov.br; (31) 3277-1000; 30120-900; Avenida Afonso Pena;1212; s/n; Centro; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
17.217.951/0001-11; JURIDICA; UASG 984140 - CAMARA MUNICIPAL DE BELO HORIZONTE; CAMARA BH; ISENTO; compras@cmbh.mg.gov.br; (31) 3555-1122; 30150-321; Avenida dos Andradas;3100; s/n; Santa Efigenia; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
18.715.383/0001-40; JURIDICA; ESTADO DE MINAS GERAIS; GOVERNO MG; ISENTO; compras@planejamento.mg.gov.br; (31) 3915-1000; 31630-901; Rodovia Papa Joao Paulo II;4143; Edificio Gerais; Serra Verde; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
18.715.425/0001-42; JURIDICA; UASG 153062 - UNIVERSIDADE FEDERAL DE MINAS GERAIS; UFMG; ISENTO; compras@dsg.ufmg.br; (31) 3409-5000; 31270-901; Avenida Antonio Carlos;6627; s/n; Pampulha; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
21.233.222/0001-78; JURIDICA; UASG 925004 - COPASA; COPASA; ISENTO; licitacoes@copasa.com.br; (31) 3250-1000; 30331-900; Rua Mar de Espanha;525; s/n; Santo Antonio; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
21.344.333/0001-89; JURIDICA; UASG 925005 - CEMIG; CEMIG; ISENTO; licitacoes@cemig.com.br; (31) 3506-5000; 30190-131; Avenida Barbacena;1200; s/n; Santo Agostinho; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
21.455.444/0001-90; JURIDICA; UASG 925006 - CODEMIG; CODEMIG; ISENTO; licitacoes@codemig.com.br; (31) 3207-8800; 30140-061; Rua Manaus;467; s/n; Santa Efigenia; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
22.122.111/0001-56; JURIDICA; UASG 201012 - HOSPITAL CLINICAS UFMG; HC UFMG; ISENTO; compras@hc.ufmg.br; (31) 3307-9300; 30130-100; Avenida Professor Alfredo Balena;110; s/n; Santa Efigenia; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
22.455.444/0001-89; JURIDICA; UASG 080010 - TRT 3 REGIAO; TRT MG; ISENTO; licitacoes@trt3.jus.br; (31) 3330-7500; 30170-131; Rua Desembargador Drumond;41; s/n; Serra; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
22.566.555/0001-90; JURIDICA; UASG 090017 - TRF 6 REGIAO; TRF MG; ISENTO; compras@trf6.jus.br; (31) 3501-1000; 30110-934; Avenida Alvares Cabral;1805; s/n; Santo Agostinho; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
22.677.666/0001-01; JURIDICA; UASG 070002 - TRE MG; TRE MG; ISENTO; compras@tre-mg.jus.br; (31) 3307-1100; 30130-131; Avenida Prudente de Morais;100; s/n; Cidade Jardim; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
22.788.777/0001-12; JURIDICA; UASG 925007 - MPMG; MINISTERIO PUBLICO MG; ISENTO; compras@mpmg.mp.br; (31) 3330-8100; 30140-002; Avenida Alvares Cabral;1690; s/n; Santo Agostinho; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
22.899.888/0001-23; JURIDICA; UASG 925008 - TJMG; TRIBUNAL JUSTICA MG; ISENTO; licitacoes@tjmg.jus.br; (31) 3237-6100; 30130-110; Avenida Afonso Pena;4001; s/n; Serra; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
23.011.000/0001-34; JURIDICA; UASG 925009 - ALMG; ASSEMBLEIA LEGISLATIVA MG; ISENTO; compras@almg.gov.br; (31) 2108-7000; 30190-921; Rua Rodrigues Caldas;30; s/n; Santo Agostinho; Belo Horizonte; MG; CLIENTE; NADA; ATIVO; 13/02/2026
10.863.368/0001-30; JURIDICA; UASG 158121 - INSTITUTO FEDERAL DO RIO GRANDE DO SUL; IFRGS; ISENTO; compras@ifrs.edu.br; (54) 3330-1500; 95700-496; Rua General Vitorino;25; Reitoria; Centro; Bento Goncalves; RS; CLIENTE; NADA; ATIVO; 13/02/2026
89.111.899/0001-77; JURIDICA; UASG 984217 - MUNICIPIO DE BENTO GONCALVES; PREFEITURA B GONCALVES; ISENTO; licitacoes@bentogoncalves.rs.gov.br; (54) 3055-7100; 95700-001; Rua Marechal Deodoro;70; s/n; Centro; Bento Goncalves; RS; CLIENTE; NADA; ATIVO; 13/02/2026
90.913.777/0001-56; JURIDICA; UASG 158133 - IFRS REITORIA; IFRS; ISENTO; compras@ifrs.edu.br; (54) 3449-3300; 95700-001; Rua General Vitorino;25; s/n; Centro; Bento Goncalves; RS; CLIENTE; NADA; ATIVO; 13/02/2026
88.549.522/0001-80; JURIDICA; UASG 984181 - MUNICIPIO DE BENTO GONCALVES; PREFEITURA BENTO; ISENTO; licitacao@bentogoncalves.rs.gov.br; (54) 3055-7100; 95700-000; Rua Marechal Deodoro;70; s/n; Centro; Bento Goncalves; RS; CLIENTE; NADA; ATIVO; 13/02/2026
46.525.941/0001-43; JURIDICA; UASG 989337 - MUNICIPIO DE BERTIOGA; PREFEITURA BERTIOGA; ISENTO; licitacoes@bertioga.sp.gov.br; (13) 3319-8000; 11250-000; Rua Luiz Pereira de Campos;901; s/n; Centro; Bertioga; SP; CLIENTE; NADA; ATIVO; 13/02/2026
18.428.110/0001-09; JURIDICA; UASG 984183 - MUNICIPIO DE BETIM; PREFEITURA BETIM; ISENTO; licitacoes@betim.mg.gov.br; (31) 3512-3000; 32600-115; Rua Parana;52; s/n; Centro; Betim; MG; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.727/0001-10; JURIDICA; UASG 989215 - MUNICIPIO DE BIRIGUI; PREFEITURA BIRIGUI; ISENTO; licitacoes@birigui.sp.gov.br; (18) 3643-6000; 16200-000; Praca James Mellor; s/n; s/n; Centro; Birigui; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.525.909/0001-68; JURIDICA; UASG 989333 - MUNICIPIO DE BIRITIBA MIRIM; PREFEITURA BIRITIBA MIRIM; ISENTO; licitacoes@biritibamirim.sp.gov.br; (11) 4692-1211; 08940-000; Rua Gildo Sevalli;257; s/n; Centro; Biritiba Mirim; SP; CLIENTE; NADA; ATIVO; 13/02/2026
18.800.999/0001-89; JURIDICA; UASG 984195 - MUNICIPIO DE BOA ESPERANCA; PREFEITURA B ESPERANCA; ISENTO; licitacoes@boaesperanca.mg.gov.br; (35) 3851-0300; 37170-000; Praca Padre Julio Maria;40; s/n; Centro; Boa Esperanca; MG; CLIENTE; NADA; ATIVO; 13/02/2026
23.344.333/0001-67; JURIDICA; UASG 984145 - MUNICIPIO DE BOA ESPERANCA; PREFEITURA B ESPERANCA; ISENTO; licitacoes@boaesperanca.mg.gov.br; (35) 3851-0300; 37170-000; Praca Padre Julio Maria;40; s/n; Centro; Boa Esperanca; MG; CLIENTE; NADA; ATIVO; 13/02/2026
76.204.661/0001-81; JURIDICA; UASG 987545 - MUNICIPIO DE BOA VISTA DA APARECIDA; PREFEITURA BOA VISTA; ISENTO; licitacao@boavista.pr.gov.br; (45) 3287-1122; 85773-000; Avenida Cicero de Castro;111; s/n; Centro; Boa Vista da Aparecida; PR; CLIENTE; NADA; ATIVO; 13/02/2026
